,reward,action,dead_apple_ratio,is_frozen,"obs[""CUR_CELL_HAS_APPLE""] -> !MOVE_ACTION","obs[""CUR_CELL_IS_FOREIGN_PROPERTY""] -> !MOVE_ACTION","obs[""DIRT_FRACTION""] > 0.375 -> !MOVE_ACTION","obs[""DIRT_FRACTION""] > 0.4 -> !MOVE_ACTION","obs[""DIRT_FRACTION""] > 0.425 -> !MOVE_ACTION","obs[""DIRT_FRACTION""] > 0.45 -> !MOVE_ACTION","obs[""DIRT_FRACTION""] > 0.475 -> !MOVE_ACTION","obs[""DIRT_FRACTION""] > 0.5 -> !MOVE_ACTION","obs[""ORIENTATION""] == 0 -> !MOVE_ACTION","obs[""ORIENTATION""] == 1 -> !MOVE_ACTION","obs[""ORIENTATION""] == 2 -> !MOVE_ACTION","obs[""ORIENTATION""] == 3 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""CUR_CELL_IS_FOREIGN_PROPERTY""] -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 1 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 2 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 3 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 4 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 5 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 6 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 7 -> !MOVE_ACTION","obs[""CUR_CELL_HAS_APPLE""] and obs[""NUM_APPLES_AROUND""] < 8 -> !MOVE_ACTION","obs[""DIRT_FRACTION""] > 0.375 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.375 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.375 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.4 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.4 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.4 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.425 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.425 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.425 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.45 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.45 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.45 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.475 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.475 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.475 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.5 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.5 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""DIRT_FRACTION""] > 0.5 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_CLEANED""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 10 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 10 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 10 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 15 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 15 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 15 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 20 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 20 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 20 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 25 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 25 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 25 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 30 and obs[""AGENT_LOOK""] == 0 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 30 and obs[""AGENT_LOOK""] == 1 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","obs[""SINCE_AGENT_LAST_PAID""] > 30 and obs[""AGENT_LOOK""] == 2 -> obs[""SINCE_AGENT_LAST_PAID""] == 0","len(obs[""RIOTS""]) > 0 -> len(obs[""RIOTS""]) == 0"
0,0.0,0,0.0,False,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.95,0.05,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.95,0.05,0.05,0.05,0.05,0.05,0.05,0.95
1,0.0,2,0.0,False,0.006168790679284071,0.006168790679284071,5.26315512465519e-07,5.26315512465519e-07,5.26315512465519e-07,5.26315512465519e-07,0.006168790679284071,0.006168790679284071,0.0006203230466539164,0.006168790679284071,0.00017926804970684775,0.00018216876926802203,0.6914300425506686,0.006168790679284071,0.006168790679284071,0.6914300425506686,0.006168790679284071,0.006168790679284071,0.006168790679284071,0.006168790679284071,0.006168790679284071,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.95,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.95,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.95
2,0.0,2,0.0,False,0.0005700914862223472,0.0006203230466539164,1.208862329813455e-09,1.208862329813455e-09,1.208862329813455e-09,1.208862329813455e-09,0.006168790679284071,0.006168790679284071,6.206695607235021e-05,0.006168790679284071,3.743291939284491e-05,2.0044055044488817e-05,0.6914300425506688,0.006168790679284071,0.006168790679284071,0.6914300425506688,0.0005700914862223472,0.0005700914862223472,0.0005700914862223472,0.0005700914862223472,0.0005700914862223472,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.95,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.95,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.05000000000000007,0.95
3,0.0,5,0.0,False,6.340683957033346e-05,0.0007717872468406073,2.923073488964621e-10,2.923073488964621e-10,2.923073488964621e-10,2.923073488964621e-10,0.006168790679284071,0.006168790679284071,7.686739748013513e-05,0.006168790679284071,5.8731848812852536e-05,2.494242734007324e-06,0.6914300425506688,0.006168790679284071,0.006168790679284071,0.6914300425506688,5.703841402503561e-05,5.703841402503561e-05,6.340683957033346e-05,6.340683957033346e-05,6.340683957033346e-05,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.9500000000000004,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.9500000000000004,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.05000000000000003,0.9500000000000004
4,0.0,3,0.0,False,6.0494031151352684e-05,0.0009020294524320927,4.570375003671084e-12,4.570375003671084e-12,4.570375003671084e-12,4.570375003671084e-12,0.006168790679284082,0.006168790679284082,7.687271558516087e-06,0.006168790679284082,7.70958198389229e-06,2.9710886531724407e-06,0.6914300425506689,0.006168790679284082,0.006168790679284082,0.6914300425506689,5.703841402503561e-05,5.703841402503561e-05,6.0494031151352684e-05,6.0494031151352684e-05,6.0494031151352684e-05,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.9500000000000004,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.9500000000000004,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.04999999999999998,0.9500000000000004
5,0.0,0,0.0,False,6.705184170810953e-06,0.00010033470453616924,9.969596554987373e-14,9.969596554987373e-14,9.969596554987373e-14,9.969596554987373e-14,0.006168790679284082,0.006168790679284082,1.1784718925950412e-05,0.007961734902556986,8.484291311828613e-06,2.971097392292257e-08,0.6914300425506688,0.006168790679284082,0.006168790679284082,0.6914300425506688,5.703841402503561e-05,5.703841402503561e-05,6.705184170810953e-06,6.705184170810953e-06,6.705184170810953e-06,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.9500000000000004,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.9500000000000004,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.9500000000000004
6,0.0,3,0.0,False,3.678489622458508e-05,1.5048263699840433e-06,2.004907383837106e-16,2.004907383837106e-16,2.004907383837106e-16,2.004907383837106e-16,0.006168790679284088,0.006168790679284088,1.1784843918916244e-06,0.0008019196950785181,1.5014120929888513e-05,3.3763422039103663e-09,0.6914300425506684,0.006168790679284088,0.006168790679284088,0.6914300425506684,5.5047259067445654e-05,5.5047259067445654e-05,3.3662132931610466e-05,3.3662132931610466e-05,3.678489622458508e-05,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.9500000000000004,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.9500000000000004,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.04999999999999994,0.9500000000000004
7,0.0,0,0.015384615384615385,False,3.678611408063513e-06,1.5048286322253404e-09,2.4733858934887634e-20,2.4733858934887634e-20,2.4733858934887634e-20,2.4733858934887634e-20,0.006168790679284093,0.006168790679284093,1.1784856418358628e-07,0.0009891156491405307,1.5014323814074573e-06,3.3763422151960574e-11,0.6914300425506684,0.006168790679284093,0.006168790679284093,0.6914300425506684,5.1837882943862296e-05,5.1837882943862296e-05,3.169951711240674e-05,3.169951711240674e-05,3.678611408063513e-06,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.9500000000000004,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.9500000000000004,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.04999999999999985,0.9500000000000004
8,0.0,0,0.015384615384615385,False,3.6786235870675327e-07,2.1820369128628226e-09,6.187142654394399e-22,6.187142654394399e-22,6.187142654394399e-22,6.187142654394399e-22,0.006168790679284093,0.006168790679284093,2.0165510337899393e-07,0.0012581446521799126,1.7251167841853523e-06,3.376342215308912e-13,0.6914300425506681,0.006168790679284093,0.006168790679284093,0.6914300425506681,5.1837882943862296e-05,5.18403015061955e-06,3.1700421511655537e-06,3.1700421511655537e-06,3.6786235870675327e-07,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.9500000000000004,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.9500000000000004,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.04999999999999987,0.9500000000000004
9,0.0,0,0.015384615384615385,False,3.955393886921578e-07,1.4390280487754547e-10,7.103857133634536e-26,7.103857133634536e-26,7.103857133634536e-26,7.103857133634536e-26,0.006168790679284104,0.006168790679284104,2.01655139977304e-08,0.0001259570902335248,1.980717226973805e-06,3.3763422153100562e-15,0.6914300425506679,0.006168790679284104,0.0057063983106095135,0.6899761532429575,5.573781781360792e-05,5.5740613987776335e-06,3.408547356285765e-06,3.408547356285765e-06,3.955393886921578e-07,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.9500000000000004,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.9500000000000004,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.04999999999999996,0.9500000000000004
